rspo,id_organ_prowadzacy
122724,265554
129573,252878
130555,260470
131241,256907
132078,261240
133560,261563
262504,261681
265091,265081
267992,267991
269316,262142
269326,262142
270078,272126
271647,251666
273055,268860
269337,268860
269338,268860
269334,268860
273412,261563
274174,251666
274174, 265554
274691,262142
277490,261563
278798,272126
279147,251666
279477,268860
279478,268860
478091,478090
478581,480251
480207,261563
480481,261563
59749,113
89639,113
89640,113
89641,113
89642,113
89643,113
91431,113
111857,113
111858,113
111859,113
111860,113
111861,113
111862,113
111993,113
111994,113
270135,239366
270144,270143
9934,5
10889,5
10888,5
86591,114
90278,114
91076,114
91192,114
277165,277109
85214,115
131093,115
85098,115
38811,115
3580,200070
52673,2484
84848,2484
84851,2484
84849,2484
84850,2484
89430,116
89631,116
52679,2484
268168,116
278249,278238
92721,117
92740,117
196245,117
92746,117
92722,117
109020,117
265679,117
266741,117
109021,117
481358,117
48924,118
52093,118
52475,118
52671,2484
82876,2484
82875,2484
82874,2484
90027,2484
90029,2484
133983,2484
124625,2484
90031,2484
90034,2484
90033,2484
52672,2484
84232,2484
84233,2484
84234,2484
60781,118
104653,118
67853,118
77968,2484
86346,2484
86348,2484
86349,2484
86351,2484
104377,231481
123327,250688
123327, 250689
131437,257175
133656,118
262468,2484
61565,2484
52674,2484
49721,119
69409,119
81688,119
86817,119
86796,119
79165,119
80440,119
478681,276243
4001,120
7988,120
7949,120
7169,121
7573,121
83944,121
7025,122
17662,122
17658,122
10315,122
14442,122
15883,122
6292,123
6293,123
6294,123
6295,123
6296,123
6297,123
7194,479659
7195,123
9854,123
9899,123
10267,271311
12403,260701
21964,2485
60194,2485
60197,2485
60196,2485
60198,2485
60195,2485
21982,2485
21996,2485
62436,2485
62442,2485
62440,2485
22057,271311
22698,2485
60189,2485
60188,2485
60193,2485
26834,274636
41323,270880
56639,261536
63950,2851
121446,2851
263917,2851
123422,254929
123537,241325
123539,250131
127814,262019
262729,123
262788,123
277242,277240
278720,261536
478873,478872
479658,478201
5271,2486
7628,2486
87104,2486
84532,2486
84531,2486
9125,2486
10355,2486
74844,2486
41383,2486
73139,2486
18765,129
29914,239759
29940,267971
31715,124
35046,2
41400,2486
62387,216040
75386,262526
75523,261775
75523, 272964
76170,261775
76170, 272964
85564,124
85565,124
85566,124
85567,124
85568,124
85570,124
85571,124
85591,269777
85592,269753
85599,257063
104043,267971
104044,220605
104044, 269566
104044, 269574
104045,269724
123715,2486
12862,2486
126460,246951
127003,248716
127433,249908
131337,2486
111284,2486
111287,2486
111285,2486
111286,2486
7459,2486
131377,2486
133408,261313
196217,124
196261,124
264717,257063
267972,267971
270174,270172
272411,272410
275252,124
275253,124
85569,124
275436,275434
276049,267971
276503,262083
480570,480569
7600,2486
63287,2486
63288,2486
19428,125
20288,125
21215,125
62584,125
53998,226403
90888,226403
90887,226403
90892,226403
90891,226403
61454,126
61455,126
61457,126
41081,127
52337,127
52336,127
41083,127
52340,127
52338,127
41086,209811
7762,2486
277316,2486
73644,2486
73476,2486
66106,128
66258,128
66260,128
8183,129
18823,129
20249,129
22906,129
23029,129
112215,129
121990,239759
479418,479416
7545,2486
82637,2486
82553,2486
82519,2486
9174,2486
35049,2
61331,130
61334,130
61336,130
61337,130
61338,130
61342,130
61343,130
61344,130
91737,248872
9627,2486
275313,130
275273,130
262987,130
275357,275356
275852,269724
276092,275356
6907,2486
8219,2486
81258,2486
81656,2486
40609,251125
40622,131
40624,131
40625,131
40626,131
277774,257971
8937,132
8938,132
8939,132
10469,132
10455,132
8944,132
8959,132
8960,132
8968,132
9288,212271
9441,132
12361,2487
12453,2487
35167,2487
39007,2487
39009,2487
12607,2487
29699,2487
29742,2487
12729,2487
262718,2487
60252,2487
119465,2487
60251,2487
13228,2487
81395,2487
81394,2487
262304,2487
19683,242454
35047,2
120336,271180
123134,2487
29775,2487
29798,2487
127107,2487
30693,2487
127106,2487
129406,252572
131461,257199
263028,135
263064,132
263066,132
263998,263996
273851,273850
277726,478506
278427,481377
278884,278880
278884, 278881
279149,279148
23150,133
23151,133
41398,133
